product_id,product_name,product_type,asset_class,provider,risk_grade,annual_fee_pct,min_subscription_won,launch_date,benchmark,distribution_type,base_nav,description
INV-연금-0001,동백자산운용 해외채권 연금 1호,연금,해외채권,동백자산운용,5,1.71,3000000,2021-08-19,S&P500,분배형,1235.22,해외채권 중심의 연금. 장기투자에 적합.
INV-펀드-0002,다올자산 국내주식 펀드 2호,펀드,국내주식,다올자산,3,1.77,1000000,2019-03-31,KRX채권,분배형,1090.49,국내주식 중심의 펀드. 장기투자에 적합.
INV-ET-0003,청우투자 부동산리츠 ETF 3호,ETF,부동산리츠,청우투자,5,1.51,100000,2019-09-29,KOSPI,재투자형,1117.57,부동산리츠 중심의 ETF. 장기투자에 적합.
INV-연금-0004,한빛자산운용 혼합형 연금 4호,연금,혼합형,한빛자산운용,4,1.24,1000000,2023-08-16,KRX채권,재투자형,914.43,혼합형 중심의 연금. 장기투자에 적합.
INV-ET-0005,청우투자 해외주식 ETF 5호,ETF,해외주식,청우투자,4,0.36,1000000,2023-04-17,Mixed50,분배형,1458.41,해외주식 중심의 ETF. 장기투자에 적합.
INV-연금-0006,다올자산 부동산리츠 연금 6호,연금,부동산리츠,다올자산,5,2.06,1000000,2021-02-27,Mixed50,분배형,1177.76,부동산리츠 중심의 연금. 장기투자에 적합.
INV-변액-0007,한빛자산운용 국내채권 변액보험 7호,변액보험,국내채권,한빛자산운용,1,1.27,1000000,2020-01-22,KOSDAQ,재투자형,940.32,국내채권 중심의 변액보험. 장기투자에 적합.
INV-ET-0008,삼산에셋 국내주식 ETF 8호,ETF,국내주식,삼산에셋,3,2.18,3000000,2020-09-13,MSCI-AC,분배형,1184.29,국내주식 중심의 ETF. 장기투자에 적합.
INV-연금-0009,삼산에셋 국내채권 연금 9호,연금,국내채권,삼산에셋,3,2.16,1000000,2021-12-29,MSCI-AC,분배형,1014.15,국내채권 중심의 연금. 장기투자에 적합.
INV-변액-0010,광화자산운용 원자재 변액보험 10호,변액보험,원자재,광화자산운용,1,1.36,100000,2023-12-02,Mixed50,분배형,1364.05,원자재 중심의 변액보험. 장기투자에 적합.
INV-펀드-0011,한빛자산운용 해외주식 펀드 11호,펀드,해외주식,한빛자산운용,2,1.74,500000,2019-02-10,S&P500,재투자형,1213.07,해외주식 중심의 펀드. 장기투자에 적합.
INV-펀드-0012,동백자산운용 해외주식 펀드 12호,펀드,해외주식,동백자산운용,5,1.47,100000,2019-11-05,KOSDAQ,분배형,1041.43,해외주식 중심의 펀드. 장기투자에 적합.
INV-변액-0013,동백자산운용 원자재 변액보험 13호,변액보험,원자재,동백자산운용,1,0.32,100000,2020-02-23,Mixed50,분배형,933.11,원자재 중심의 변액보험. 장기투자에 적합.
INV-연금-0014,광화자산운용 혼합형 연금 14호,연금,혼합형,광화자산운용,4,1.57,100000,2021-05-11,S&P500,분배형,1324.66,혼합형 중심의 연금. 장기투자에 적합.
INV-변액-0015,삼산에셋 해외주식 변액보험 15호,변액보험,해외주식,삼산에셋,1,0.88,100000,2019-04-23,KOSDAQ,분배형,1302.64,해외주식 중심의 변액보험. 장기투자에 적합.
INV-연금-0016,한빛자산운용 해외채권 연금 16호,연금,해외채권,한빛자산운용,3,0.67,500000,2020-12-26,KRX채권,분배형,1362.83,해외채권 중심의 연금. 장기투자에 적합.
INV-변액-0017,한빛자산운용 해외채권 변액보험 17호,변액보험,해외채권,한빛자산운용,4,0.66,100000,2019-06-14,KOSPI,분배형,1237.27,해외채권 중심의 변액보험. 장기투자에 적합.
INV-ET-0018,다올자산 국내채권 ETF 18호,ETF,국내채권,다올자산,3,0.68,500000,2020-09-09,S&P500,분배형,1042.43,국내채권 중심의 ETF. 장기투자에 적합.
INV-연금-0019,삼산에셋 원자재 연금 19호,연금,원자재,삼산에셋,2,0.54,100000,2022-02-15,KOSPI,재투자형,1435.68,원자재 중심의 연금. 장기투자에 적합.
INV-펀드-0020,삼산에셋 원자재 펀드 20호,펀드,원자재,삼산에셋,5,0.47,500000,2020-04-02,KOSPI,분배형,1331.34,원자재 중심의 펀드. 장기투자에 적합.
INV-연금-0021,다올자산 혼합형 연금 21호,연금,혼합형,다올자산,1,0.21,1000000,2021-06-13,KOSDAQ,분배형,1176.42,혼합형 중심의 연금. 장기투자에 적합.
INV-ET-0022,다올자산 해외채권 ETF 22호,ETF,해외채권,다올자산,2,1.06,1000000,2019-04-24,KRX채권,재투자형,909.96,해외채권 중심의 ETF. 장기투자에 적합.
INV-펀드-0023,한빛자산운용 해외채권 펀드 23호,펀드,해외채권,한빛자산운용,2,1.6,100000,2020-05-07,S&P500,재투자형,1152.56,해외채권 중심의 펀드. 장기투자에 적합.
